,node,source,fa_score,la_score,size,abs_fa_score,abs_la_score,feature_name
0,"('GBIF:1', 'Animalia')",kingdom,-0.074829932,-0.440136054,735,0.074829932,0.44013605442176873,"kingdom_tuple_Count_('GBIF:1', 'Animalia')"
1,"('GBIF:6', 'Plantae')",kingdom,-0.080375783,-0.345511482,479,0.080375783,0.3455114822546973,"kingdom_tuple_Count_('GBIF:6', 'Plantae')"
2,"('GBIF:5', 'Fungi')",kingdom,0.045454545454545456,-0.284090909,44,0.045454545454545456,0.2840909090909091,"kingdom_tuple_Count_('GBIF:5', 'Fungi')"
3,"('GBIF:4', 'Chromista')",kingdom,-0.102272727,-0.431818182,44,0.10227272727272728,0.4318181818181818,"kingdom_tuple_Count_('GBIF:4', 'Chromista')"
4,"('GBIF:3', 'Bacteria')",kingdom,0.23333333333333334,-0.516666667,30,0.23333333333333334,0.5166666666666667,"kingdom_tuple_Count_('GBIF:3', 'Bacteria')"
5,"('GBIF:7', 'Protozoa')",kingdom,0.2,-1,5,0.2,1,"kingdom_tuple_Count_('GBIF:7', 'Protozoa')"
6,"('GBIF:0', 'incertae sedis')",kingdom,1,0,1,1,0,"kingdom_tuple_Count_('GBIF:0', 'incertae sedis')"
7,"('GBIF:54', 'Arthropoda')",phylum,0.015492957746478873,-0.418309859,355,0.015492957746478873,0.4183098591549296,"phylum_tuple_Count_('GBIF:54', 'Arthropoda')"
8,"('GBIF:44', 'Chordata')",phylum,-0.069620253,-0.428571429,553,0.069620253,0.42857142857142855,"phylum_tuple_Count_('GBIF:44', 'Chordata')"
9,"('GBIF:43', 'Cnidaria')",phylum,0.083333333,-0.277777778,18,0.083333333,0.2777777777777778,"phylum_tuple_Count_('GBIF:43', 'Cnidaria')"
10,"('GBIF:52', 'Mollusca')",phylum,0.046875,-0.28125,64,0.046875,0.28125,"phylum_tuple_Count_('GBIF:52', 'Mollusca')"
11,"('GBIF:7707728', 'Tracheophyta')",phylum,-0.076839827,-0.338744589,462,0.076839827,0.33874458874458874,"phylum_tuple_Count_('GBIF:7707728', 'Tracheophyta')"
12,"('GBIF:34', 'Basidiomycota')",phylum,0,-0.05,10,0,0.05,"phylum_tuple_Count_('GBIF:34', 'Basidiomycota')"
13,"('GBIF:67', 'Acanthocephala')",phylum,-1,-1,1,1,1,"phylum_tuple_Count_('GBIF:67', 'Acanthocephala')"
14,"('GBIF:108', 'Platyhelminthes')",phylum,-0.2,-1,5,0.2,1,"phylum_tuple_Count_('GBIF:108', 'Platyhelminthes')"
15,"('GBIF:98', 'Ochrophyta')",phylum,-0.25,-0.222222222,18,0.25,0.2222222222222222,"phylum_tuple_Count_('GBIF:98', 'Ochrophyta')"
16,"('GBIF:50', 'Echinodermata')",phylum,0.5454545454545454,-0.636363636,11,0.5454545454545454,0.6363636363636364,"phylum_tuple_Count_('GBIF:50', 'Echinodermata')"
17,"('GBIF:111', 'Proteobacteria')",phylum,0.3888888888888889,-0.666666667,18,0.3888888888888889,0.6666666666666666,"phylum_tuple_Count_('GBIF:111', 'Proteobacteria')"
18,"('GBIF:95', 'Ascomycota')",phylum,0.066666667,-0.183333333,30,0.066666667,0.18333333333333332,"phylum_tuple_Count_('GBIF:95', 'Ascomycota')"
19,"('GBIF:7765738', 'Ciliophora')",phylum,0.076923077,-0.692307692,13,0.076923077,0.6923076923076923,"phylum_tuple_Count_('GBIF:7765738', 'Ciliophora')"
20,"('GBIF:5967481', 'Nematoda')",phylum,-0.222222222,-0.388888889,9,0.2222222222222222,0.3888888888888889,"phylum_tuple_Count_('GBIF:5967481', 'Nematoda')"
21,"('GBIF:41', 'Euglenozoa')",phylum,0,-1,2,0,1,"phylum_tuple_Count_('GBIF:41', 'Euglenozoa')"
22,"('GBIF:32', 'Oomycota')",phylum,-0.333333333,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,"phylum_tuple_Count_('GBIF:32', 'Oomycota')"
23,"('GBIF:87', 'Firmicutes')",phylum,-0.555555556,-0.166666667,9,0.5555555555555556,0.16666666666666666,"phylum_tuple_Count_('GBIF:87', 'Firmicutes')"
24,"('GBIF:8376456', 'Foraminifera')",phylum,1,0,3,1,0,"phylum_tuple_Count_('GBIF:8376456', 'Foraminifera')"
25,"('GBIF:42', 'Annelida')",phylum,-0.611111111,-0.111111111,9,0.6111111111111112,0.1111111111111111,"phylum_tuple_Count_('GBIF:42', 'Annelida')"
26,"('GBIF:94', 'Chytridiomycota')",phylum,0,-1,2,0,1,"phylum_tuple_Count_('GBIF:94', 'Chytridiomycota')"
27,"('GBIF:36', 'Chlorophyta')",phylum,0.1,-0.6,5,0.1,0.6,"phylum_tuple_Count_('GBIF:36', 'Chlorophyta')"
28,"('GBIF:12238325', 'Mucoromycota')",phylum,1,-1,1,1,1,"phylum_tuple_Count_('GBIF:12238325', 'Mucoromycota')"
29,"('GBIF:106', 'Rhodophyta')",phylum,-0.1,-0.2,5,0.1,0.2,"phylum_tuple_Count_('GBIF:106', 'Rhodophyta')"
30,"('GBIF:35', 'Bryophyta')",phylum,0.6666666666666666,-0.5,6,0.6666666666666666,0.5,"phylum_tuple_Count_('GBIF:35', 'Bryophyta')"
31,"('GBIF:10791940', 'Entomophthoromycota')",phylum,-0.333333333,-0.333333333,3,0.3333333333333333,0.3333333333333333,"phylum_tuple_Count_('GBIF:10791940', 'Entomophthoromycota')"
