Feature,Importance,Unnamed: 0,node,source,fa_score,la_score,abs_fa_score,abs_la_score,feature_name
"kingdom_tuple_Count_('GBIF:1', 'Animalia')",0.02338905559805404,0,"('GBIF:1', 'Animalia')",kingdom,-0.074829932,-0.440136054,0.074829932,0.4401360544217687,"kingdom_tuple_Count_('GBIF:1', 'Animalia')"
LDATopics_L64,0.01652406914445637,7928,L64,tdt_lda,-0.361940299,-0.555970149,0.3619402985074627,0.5559701492537313,LDATopics_L64
"phylum_tuple_Count_('GBIF:54', 'Arthropoda')",0.01471773477902697,7,"('GBIF:54', 'Arthropoda')",phylum,0.0154929577464788,-0.418309859,0.0154929577464788,0.4183098591549296,"phylum_tuple_Count_('GBIF:54', 'Arthropoda')"
"phylum_tuple_Count_('GBIF:44', 'Chordata')",0.01407523254311674,8,"('GBIF:44', 'Chordata')",phylum,-0.069620253,-0.428571429,0.069620253,0.4285714285714285,"phylum_tuple_Count_('GBIF:44', 'Chordata')"
BERTopics_B0,0.01289480273611254,7850,B0,tdt_bt,0.1463414634146341,-0.228658537,0.1463414634146341,0.2286585365853658,BERTopics_B0
LDATopics_L68,0.01113770912871654,7923,L68,tdt_lda,-0.053571429,-0.316964286,0.053571429,0.3169642857142857,LDATopics_L68
"kingdom_tuple_Count_('GBIF:6', 'Plantae')",0.01098416712518056,1,"('GBIF:6', 'Plantae')",kingdom,-0.080375783,-0.345511482,0.080375783,0.3455114822546973,"kingdom_tuple_Count_('GBIF:6', 'Plantae')"
"order_tuple_Count_('GBIF:1457', 'Hymenoptera')",0.01056816852663929,108,"('GBIF:1457', 'Hymenoptera')",order,0.094117647,-0.541176471,0.094117647,0.5411764705882353,"order_tuple_Count_('GBIF:1457', 'Hymenoptera')"
"order_tuple_Count_('GBIF:798', 'Primates')",0.01012321993347742,150,"('GBIF:798', 'Primates')",order,0.1759259259259259,-0.37962963,0.1759259259259259,0.3796296296296296,"order_tuple_Count_('GBIF:798', 'Primates')"
"class_tuple_Count_('GBIF:220', 'Magnoliopsida')",0.01002969663743505,46,"('GBIF:220', 'Magnoliopsida')",class,-0.069343066,-0.350364964,0.069343066,0.3503649635036496,"class_tuple_Count_('GBIF:220', 'Magnoliopsida')"
LDATopics_L39,0.009991327885306722,7915,L39,tdt_lda,0.077205882,-0.485294118,0.077205882,0.4852941176470588,LDATopics_L39
"phylum_tuple_Count_('GBIF:7707728', 'Tracheophyta')",0.009297783592482687,11,"('GBIF:7707728', 'Tracheophyta')",phylum,-0.076839827,-0.338744589,0.076839827,0.3387445887445887,"phylum_tuple_Count_('GBIF:7707728', 'Tracheophyta')"
"order_tuple_Count_('GBIF:587', 'Perciformes')",0.00925733955002524,104,"('GBIF:587', 'Perciformes')",order,0.074257426,-0.485148515,0.074257426,0.4851485148514851,"order_tuple_Count_('GBIF:587', 'Perciformes')"
LDATopics_L17,0.009218376842428882,7931,L17,tdt_lda,-0.269230769,-0.482248521,0.2692307692307692,0.4822485207100592,LDATopics_L17
LDATopics_L67,0.008813223094475972,7929,L67,tdt_lda,-0.240924092,-0.427392739,0.2409240924092409,0.4273927392739274,LDATopics_L67
LDATopics_L24,0.008558394102635253,7953,L24,tdt_lda,-0.072368421,-0.536184211,0.072368421,0.5361842105263158,LDATopics_L24
BERTopics_B-1,0.00849394702215034,7833,B-1,tdt_bt,-0.124164811,-0.452672606,0.1241648106904231,0.4526726057906459,BERTopics_B-1
"order_tuple_Count_('GBIF:797', 'Lepidoptera')",0.007942162417971842,162,"('GBIF:797', 'Lepidoptera')",order,0.2430555555555555,-0.243055556,0.2430555555555555,0.2430555555555555,"order_tuple_Count_('GBIF:797', 'Lepidoptera')"
LDATopics_L58,0.007921151993313632,7945,L58,tdt_lda,0.007462687,-0.302238806,0.007462687,0.3022388059701492,LDATopics_L58
LDATopics_L23,0.007890190807891433,7938,L23,tdt_lda,-0.01863354,-0.204968944,0.0186335403726708,0.2049689440993788,LDATopics_L23
LDATopics_L9,0.007419966401282896,7914,L9,tdt_lda,0.08203125,-0.4375,0.08203125,0.4375,LDATopics_L9
"family_tuple_Count_('GBIF:4691', 'Euphorbiaceae')",0.007047261349895309,410,"('GBIF:4691', 'Euphorbiaceae')",family,0.2162162162162162,-0.364864865,0.2162162162162162,0.3648648648648648,"family_tuple_Count_('GBIF:4691', 'Euphorbiaceae')"
LDATopics_L52,0.006876923174778598,7965,L52,tdt_lda,-0.124277457,-0.563583815,0.1242774566473988,0.5635838150289018,LDATopics_L52
LDATopics_L47,0.006715451212221162,7907,L47,tdt_lda,-0.361111111,-0.583333333,0.3611111111111111,0.5833333333333334,LDATopics_L47
LDATopics_L38,0.006525133429176296,7911,L38,tdt_lda,-0.393518519,-0.481481481,0.3935185185185185,0.4814814814814814,LDATopics_L38
LDATopics_L31,0.006523364817434632,7903,L31,tdt_lda,-0.020661157,-0.338842975,0.020661157,0.3388429752066115,LDATopics_L31
"class_tuple_Count_('GBIF:216', 'Insecta')",0.006419229694608635,41,"('GBIF:216', 'Insecta')",class,0.006666667,-0.44,0.006666667,0.44,"class_tuple_Count_('GBIF:216', 'Insecta')"
LDATopics_L34,0.00608197195039396,7935,L34,tdt_lda,0.01984127,-0.611111111,0.01984127,0.6111111111111112,LDATopics_L34
"order_tuple_Count_('GBIF:1414', 'Malpighiales')",0.005973268086323686,117,"('GBIF:1414', 'Malpighiales')",order,0.2346938775510204,-0.255102041,0.2346938775510204,0.2551020408163265,"order_tuple_Count_('GBIF:1414', 'Malpighiales')"
LDATopics_L11,0.005929848878817158,7946,L11,tdt_lda,-0.426315789,-0.505263158,0.4263157894736842,0.5052631578947369,LDATopics_L11
LDATopics_L12,0.005827362178987332,7901,L12,tdt_lda,-0.049019608,-0.463235294,0.0490196078431372,0.4632352941176471,LDATopics_L12
BERTopics_B1,0.005763912968577675,7839,B1,tdt_bt,-0.323333333,-0.4,0.3233333333333333,0.4,BERTopics_B1
"phylum_tuple_Count_('GBIF:52', 'Mollusca')",0.005702064969708723,10,"('GBIF:52', 'Mollusca')",phylum,0.046875,-0.28125,0.046875,0.28125,"phylum_tuple_Count_('GBIF:52', 'Mollusca')"
"order_tuple_Count_('GBIF:1470', 'Coleoptera')",0.005604083418406686,112,"('GBIF:1470', 'Coleoptera')",order,0.3382352941176471,-0.5,0.3382352941176471,0.5,"order_tuple_Count_('GBIF:1470', 'Coleoptera')"
