Feature,Importance,Unnamed: 0,node,source,fa_score,la_score,abs_fa_score,abs_la_score,feature_name
BERTopics_B0,0.008878943055398273,7850,B0,tdt_bt,0.1463414634146341,-0.228658537,0.1463414634146341,0.2286585365853658,BERTopics_B0
LDATopics_L58,0.00849938907000758,7945,L58,tdt_lda,0.007462687,-0.302238806,0.007462687,0.3022388059701492,LDATopics_L58
BERTopics_B1,0.007569463544198797,7839,B1,tdt_bt,-0.323333333,-0.4,0.3233333333333333,0.4,BERTopics_B1
BERTopics_B-1,0.007362032874121044,7833,B-1,tdt_bt,-0.124164811,-0.452672606,0.1241648106904231,0.4526726057906459,BERTopics_B-1
LDATopics_L8,0.007278397149543347,7949,L8,tdt_lda,-0.224806202,-0.372093023,0.2248062015503876,0.3720930232558139,LDATopics_L8
"kingdom_tuple_Count_('GBIF:6', 'Plantae')",0.007235995913726035,1,"('GBIF:6', 'Plantae')",kingdom,-0.080375783,-0.345511482,0.080375783,0.3455114822546973,"kingdom_tuple_Count_('GBIF:6', 'Plantae')"
"phylum_tuple_Count_('GBIF:7707728', 'Tracheophyta')",0.006512663946435951,11,"('GBIF:7707728', 'Tracheophyta')",phylum,-0.076839827,-0.338744589,0.076839827,0.3387445887445887,"phylum_tuple_Count_('GBIF:7707728', 'Tracheophyta')"
LDATopics_L23,0.005779984933498785,7938,L23,tdt_lda,-0.01863354,-0.204968944,0.0186335403726708,0.2049689440993788,LDATopics_L23
"kingdom_tuple_Count_('GBIF:1', 'Animalia')",0.00538896672905227,0,"('GBIF:1', 'Animalia')",kingdom,-0.074829932,-0.440136054,0.074829932,0.4401360544217687,"kingdom_tuple_Count_('GBIF:1', 'Animalia')"
LDATopics_L63,0.005371326042611833,7944,L63,tdt_lda,-0.130630631,-0.274774775,0.1306306306306306,0.2747747747747748,LDATopics_L63
"phylum_tuple_Count_('GBIF:54', 'Arthropoda')",0.0051308529220471,7,"('GBIF:54', 'Arthropoda')",phylum,0.0154929577464788,-0.418309859,0.0154929577464788,0.4183098591549296,"phylum_tuple_Count_('GBIF:54', 'Arthropoda')"
"class_tuple_Count_('GBIF:220', 'Magnoliopsida')",0.005125515868352078,46,"('GBIF:220', 'Magnoliopsida')",class,-0.069343066,-0.350364964,0.069343066,0.3503649635036496,"class_tuple_Count_('GBIF:220', 'Magnoliopsida')"
"phylum_tuple_Count_('GBIF:44', 'Chordata')",0.005117666080061344,8,"('GBIF:44', 'Chordata')",phylum,-0.069620253,-0.428571429,0.069620253,0.4285714285714285,"phylum_tuple_Count_('GBIF:44', 'Chordata')"
LDATopics_L64,0.005037226548535124,7928,L64,tdt_lda,-0.361940299,-0.555970149,0.3619402985074627,0.5559701492537313,LDATopics_L64
"order_tuple_Count_('GBIF:9301143', 'Unionida')",0.005005263075038668,159,"('GBIF:9301143', 'Unionida')",order,-0.125,0.3333333333333333,0.125,0.3333333333333333,"order_tuple_Count_('GBIF:9301143', 'Unionida')"
LDATopics_L53,0.004643766482344635,7922,L53,tdt_lda,-0.064655172,-0.387931034,0.064655172,0.3879310344827586,LDATopics_L53
LDATopics_L68,0.004540551667825704,7923,L68,tdt_lda,-0.053571429,-0.316964286,0.053571429,0.3169642857142857,LDATopics_L68
"class_tuple_Count_('GBIF:194', 'Pinopsida')",0.00450271262257361,49,"('GBIF:194', 'Pinopsida')",class,-0.115942029,-0.260869565,0.1159420289855072,0.2608695652173913,"class_tuple_Count_('GBIF:194', 'Pinopsida')"
LDATopics_L31,0.004465169907392732,7903,L31,tdt_lda,-0.020661157,-0.338842975,0.020661157,0.3388429752066115,LDATopics_L31
LDATopics_L66,0.004435866199118813,7955,L66,tdt_lda,-0.174479167,-0.4453125,0.1744791666666666,0.4453125,LDATopics_L66
LDATopics_L0,0.004290096451029686,7927,L0,tdt_lda,-0.08490566,-0.471698113,0.08490566,0.4716981132075472,LDATopics_L0
LDATopics_L67,0.004068045153896363,7929,L67,tdt_lda,-0.240924092,-0.427392739,0.2409240924092409,0.4273927392739274,LDATopics_L67
LDATopics_L55,0.003900234082586244,7964,L55,tdt_lda,0.1041666666666666,-0.135416667,0.1041666666666666,0.1354166666666666,LDATopics_L55
LDATopics_L25,0.003861655439269442,7960,L25,tdt_lda,-0.109756098,-0.085365854,0.1097560975609756,0.085365854,LDATopics_L25
LDATopics_L48,0.003731067251396687,7954,L48,tdt_lda,-0.285714286,-0.635338346,0.2857142857142857,0.6353383458646616,LDATopics_L48
"order_tuple_Count_('GBIF:811', 'Diptera')",0.00369751619613395,114,"('GBIF:811', 'Diptera')",order,0.12,-0.17,0.12,0.17,"order_tuple_Count_('GBIF:811', 'Diptera')"
LDATopics_L40,0.003685385304672883,7920,L40,tdt_lda,-0.119444444,-0.491666667,0.1194444444444444,0.4916666666666666,LDATopics_L40
LDATopics_L11,0.00362224202675007,7946,L11,tdt_lda,-0.426315789,-0.505263158,0.4263157894736842,0.5052631578947369,LDATopics_L11
