Level,Taxa Entity,First Author Score,Team Score,Last Author Score
Kingdom,Animalia,-0.0748299319727891,-0.2971989672179973,-0.4401360544217687
Kingdom,Plantae,-0.080375782881002,-0.2687440713915665,-0.3455114822546973
Kingdom,Fungi,0.0454545454545454,-0.2210436343959071,-0.2840909090909091
Kingdom,Bacteria,0.2333333333333333,-0.2906539987789988,-0.5166666666666667
Phylum,Chordata,-0.0696202531645569,-0.3108437629883093,-0.4285714285714285
Phylum,Tracheophyta,-0.0768398268398268,-0.2723869859002978,-0.3387445887445887
Phylum,Arthropoda,0.0154929577464788,-0.2562300384296173,-0.4183098591549296
Class,Magnoliopsida,-0.0693430656934306,-0.2749163290586222,-0.3503649635036496
Class,Insecta,0.0066666666666666,-0.2495929564662449,-0.44
Class,Liliopsida,0.0471698113207547,-0.2617818190291663,-0.3632075471698113
Class,Mammalia,-0.0168067226890756,-0.3293290974995704,-0.4201680672268907
Class,Aves,-0.3333333333333333,-0.452367878544224,-0.5190476190476191
Order,Fabales,0.0647058823529411,-0.202231247775027,-0.2470588235294117
Order,Perciformes,0.0742574257425742,-0.2350103691262536,-0.4851485148514851
Order,Pinales,0.0224719101123595,-0.3087984904776731,-0.3314606741573033
Order,Rosales,0.0974025974025974,-0.3096276569611703,-0.3506493506493506
Order,Fagales,-0.05,-0.3178023490489468,-0.36
Family,Fabaceae,-0.0087719298245614,-0.2382753449118893,-0.2763157894736842
Family,Asteraceae,-0.0528846153846153,-0.2496340821419192,-0.3798076923076923
Family,Fagaceae,-0.0833333333333333,-0.3114572015003475,-0.3333333333333333
Family,Pinaceae,-0.11,-0.322437799382272,-0.325
Family,Salmonidae,-0.0182926829268292,-0.2689845903424788,-0.3841463414634146
Family,Euphorbiaceae,0.2162162162162162,-0.2199154956507897,-0.3648648648648648
Family,Rosaceae,0.0555555555555555,-0.3581555235496123,-0.4523809523809524
Family,Poaceae,0.0773809523809523,-0.235151958058362,-0.369047619047619
Genus,Quercus,-0.0170454545454545,-0.2974856288585374,-0.3806818181818182
Genus,Pinus,0.0138888888888888,-0.2874739718796091,-0.3263888888888889
Genus,Homo,0.1511627906976744,-0.1694034486185649,-0.3023255813953488
Genus,Fagus,-0.1413043478260869,-0.3839861652174247,-0.3695652173913043
Genus,Picea,-0.1,-0.3858259442082972,-0.4555555555555555
Genus,Euphorbia,0.125,-0.1683429621848739,-0.1875
Species,Quercus robur,0.0795454545454545,-0.3213792725949174,-0.4886363636363636
Species,Fagus sylvatica,-0.1413043478260869,-0.3839861652174247,-0.3695652173913043
Species,Pinus sylvestris,0.1375,-0.3346158477959948,-0.3
Species,Picea abies,-0.1029411764705882,-0.4645502109386192,-0.5735294117647058
Species,Homo sapiens,0.1704545454545454,-0.1781131788533103,-0.3181818181818182
