Node,Avg_weight_end_point_degree,First Author Score,Team Score,Last Author Score
"('GBIF:220', 'Magnoliopsida')",18358.0,-0.06934306569343066,-0.2749163290586222,-0.35036496350364965
"('GBIF:216', 'Insecta')",13232.0,0.006666666666666667,-0.24959295646624494,-0.44
"('GBIF:196', 'Liliopsida')",11440.0,0.04716981132075472,-0.2617818190291663,-0.3632075471698113
"('GBIF:194', 'Pinopsida')",8144.0,-0.11594202898550725,-0.3175822839186011,-0.2608695652173913
"('GBIF:359', 'Mammalia')",8022.0,-0.01680672268907563,-0.3293290974995704,-0.42016806722689076
"('GBIF:212', 'Aves')",7648.0,-0.3333333333333333,-0.452367878544224,-0.5190476190476191
"('GBIF:367', 'Arachnida')",4166.0,0.1,-0.22376957968502084,-0.3625
"('GBIF:121', 'Elasmobranchii')",1514.0,0.2727272727272727,-0.2112208846130884,-0.18181818181818182
"('GBIF:11592253', 'Squamata')",1464.0,-0.4166666666666667,-0.22186397480515127,-0.3333333333333333
"('GBIF:225', 'Gastropoda')",1390.0,0.09090909090909091,-0.24294569067296337,-0.5454545454545454
