Node,Clustering_coefficient,First Author Score,Team Score,Last Author Score
"('GBIF:186', 'Agaricomycetes')",1.0,-0.3333333333333333,-0.5952380952380952,-0.3333333333333333
"('GBIF:254', 'Palaeacanthocephala')",1.0,-1.0,-0.6666666666666666,-1.0
"('GBIF:270', 'Pucciniomycetes')",1.0,-1.0,-0.01190476190476189,0.0
"('GBIF:7391750', 'Euglenoidea')",1.0,-1.0,-0.2,-1.0
"('GBIF:255', 'Clitellata')",1.0,-1.0,-1.0,-1.0
"('GBIF:361', 'Diplopoda')",1.0,-1.0,-1.0,-1.0
"('GBIF:10689325', 'Rhizophydiomycetes')",1.0,-1.0,-0.5,-1.0
"('GBIF:183', 'Dothideomycetes')",1.0,0.0,-0.12662337662337658,-0.25
"('GBIF:10792796', 'Candelariomycetes')",1.0,1.0,-0.5,-1.0
"('GBIF:233', 'Filosia')",1.0,1.0,-0.4285714285714285,-1.0
