Node,Clustering_coefficient,First Author Score,Team Score,Last Author Score
"('GBIF:4879283', 'Astrangiidae')",1.0,-1.0,-0.6666666666666666,0.0
"('GBIF:3244629', 'Diplommatinidae')",1.0,-1.0,-0.6666666666666666,0.0
"('GBIF:3968', 'Faviidae')",1.0,-1.0,-0.6666666666666666,0.0
"('GBIF:2511', 'Dilleniaceae')",1.0,-1.0,-0.7857142857142857,-1.0
"('GBIF:6676', 'Malpighiaceae')",1.0,-1.0,-0.7857142857142857,-1.0
"('GBIF:7609', 'Russulaceae')",1.0,-1.0,-1.0,-1.0
"('GBIF:8455', 'Suillaceae')",1.0,-1.0,-1.0,-1.0
"('GBIF:3277', 'Thelephoraceae')",1.0,-1.0,-1.0,-1.0
"('GBIF:3077', 'Bombinatoridae')",1.0,-1.0,-1.0,-1.0
"('GBIF:6080', 'Varroidae')",1.0,0.0,-0.625,-1.0
