Node,Clustering_coefficient,First Author Score,Team Score,Last Author Score
"('GBIF:2259398', 'Astrangia')",1.0,-1.0,-0.6666666666666666,0.0
"('GBIF:3244630', 'Arinia')",1.0,-1.0,-0.6666666666666666,0.0
"('GBIF:10241599', 'Favia')",1.0,-1.0,-0.6666666666666666,0.0
"('GBIF:1170237', 'Rhynchophorus')",1.0,-1.0,-1.0,-1.0
"('GBIF:1723690', 'Lebinthus')",1.0,-1.0,-1.0,-1.0
"('GBIF:3189574', 'Vismia')",1.0,-1.0,-0.7857142857142857,-1.0
"('GBIF:3234608', 'Davilla')",1.0,-1.0,-0.7857142857142857,-1.0
"('GBIF:2903511', 'Isertia')",1.0,-1.0,-0.7857142857142857,-1.0
"('GBIF:8323398', 'Bellucia')",1.0,-1.0,-0.7857142857142857,-1.0
"('GBIF:2872218', 'Anthurium')",1.0,-1.0,-0.7857142857142857,-1.0
