Node,Neighborhood_connectivity,First Author Score,Team Score,Last Author Score
"('GBIF:2020685', 'Stephanitis')",433.0,1.0,-0.1162790697674418,-1.0
"('GBIF:3223445', 'Lactobacillus')",335.0,1.0,0.3333333333333333,1.0
"('GBIF:4650818', 'Specioporus')",313.0,-1.0,-0.4821428571428571,-1.0
"('GBIF:2580795', 'Pyrenopeziza')",302.5,-1.0,-0.375,-1.0
"('GBIF:2435351', 'Elephas')",299.0,-1.0,-0.9166666666666667,-1.0
"('GBIF:1155014', 'Tragosoma')",286.4,-1.0,-0.5625,-1.0
"('GBIF:1112969', 'Phoebe')",251.0,-1.0,-0.3928571428571428,-1.0
"('GBIF:3031034', 'Polylepis')",246.55555555555554,1.0,-0.3846153846153846,-1.0
"('GBIF:2706001', 'Phleum')",235.33333333333334,0.0,-0.15625,-1.0
"('GBIF:3188793', 'Circaea')",233.9,1.0,1.0,1.0
