Node,Size,First Author Score,Team Score,Last Author Score
"('GBIF:2877951', 'Quercus')",88,-0.017045454545454544,-0.29748562885853747,-0.3806818181818182
"('GBIF:2684241', 'Pinus')",72,0.013888888888888888,-0.2874739718796091,-0.3263888888888889
"('GBIF:2487923', 'Parus')",51,-0.049019607843137254,-0.29706162400937375,-0.3333333333333333
"('GBIF:8326529', 'Ixodes')",50,0.21,-0.20688159063159062,-0.58
"('GBIF:1522683', 'Drosophila')",49,0.09183673469387756,-0.20089321442862862,-0.17346938775510204
"('GBIF:2347608', 'Salmo')",47,-0.06382978723404255,-0.27006320578518594,-0.2872340425531915
"('GBIF:2874875', 'Fagus')",46,-0.14130434782608695,-0.3839861652174247,-0.3695652173913043
"('GBIF:7606064', 'Picea')",45,-0.1,-0.3858259442082972,-0.45555555555555555
"('GBIF:2984538', 'Cannabis')",43,-0.19767441860465115,-0.24101459188326493,-0.27906976744186046
"('GBIF:2436435', 'Homo')",43,0.1511627906976744,-0.1694034486185649,-0.3023255813953488
