Node,Clustering_coefficient,First Author Score,Team Score,Last Author Score
"('GBIF:947', 'Dilleniales')",1.0,-1.0,-0.7857142857142857,-1.0
"('GBIF:1144', 'Russulales')",1.0,-1.0,-1.0,-1.0
"('GBIF:1063', 'Boletales')",1.0,-1.0,-1.0,-1.0
"('GBIF:800', 'Blattodea')",1.0,0.25,-0.15,-1.0
"('GBIF:1221', 'Rhizobiales')",1.0,1.0,0.5,-1.0
"('GBIF:10851379', 'Holosporales')",1.0,1.0,-0.2738095238095237,-1.0
"('GBIF:1126', 'Pucciniales')",1.0,-1.0,-0.01190476190476189,0.0
"('GBIF:1061', 'Sordariales')",1.0,-1.0,-1.0,-1.0
"('GBIF:1041', 'Onygenales')",1.0,-1.0,-1.0,-1.0
"('GBIF:1224', 'Dermaptera')",1.0,0.0,-0.5,-1.0
