Node,Neighborhood_connectivity,First Author Score,Team Score,Last Author Score
"('GBIF:771', 'Petromyzontiformes')",116.5,1.0,0.0,-1.0
"('GBIF:11341167', 'Tubificida')",106.0,-1.0,-1.0,-1.0
"('GBIF:1003', 'Trichoptera')",106.0,-1.0,-1.0,-1.0
"('GBIF:800', 'Blattodea')",96.0,0.25,-0.15,-1.0
"('GBIF:705', 'Actiniaria')",93.33333333333333,1.0,-0.4444444444444444,-1.0
"('GBIF:581', 'Mycoplasmatales')",92.0,-1.0,-0.625,0.5
"('GBIF:11151631', 'Vaginulinida')",91.0,1.0,-0.3663793103448275,-1.0
"('GBIF:424', 'Ephedrales')",89.0,1.0,0.2083333333333333,1.0
"('GBIF:7895423', 'Mytilinidiales')",88.5,-1.0,-0.3636363636363636,0.0
"('GBIF:749', 'Mucorales')",86.0,1.0,0.2,-1.0
