Node,Strength,First Author Score,Team Score,Last Author Score
"('GBIF:1370', 'Fabales')",972,0.06470588235294118,-0.20223124777502707,-0.24705882352941178
"('GBIF:1369', 'Poales')",872,0.10215053763440861,-0.26720189031090036,-0.34946236559139787
"('GBIF:414', 'Asterales')",848,-0.03205128205128205,-0.2606114535974684,-0.4423076923076923
"('GBIF:691', 'Rosales')",846,0.09740259740259741,-0.30962765696117034,-0.35064935064935066
"('GBIF:408', 'Lamiales')",822,0.13194444444444445,-0.23761466622458005,-0.3888888888888889
"('GBIF:1354', 'Fagales')",818,-0.05,-0.3178023490489468,-0.36
"('GBIF:587', 'Perciformes')",768,0.07425742574257425,-0.2350103691262536,-0.48514851485148514
"('GBIF:640', 'Pinales')",748,0.02247191011235955,-0.30879849047767316,-0.33146067415730335
"('GBIF:1457', 'Hymenoptera')",722,0.09411764705882353,-0.19952574963468836,-0.5411764705882353
"('GBIF:1414', 'Malpighiales')",686,0.23469387755102042,-0.19211100557439093,-0.25510204081632654
