Node,Avg_weight_end_point_degree,First Author Score,Team Score,Last Author Score
"('GBIF:2878688', 'Quercus robur')",276120.0,0.07954545454545454,-0.3213792725949174,-0.48863636363636365
"('GBIF:2882316', 'Fagus sylvatica')",236932.0,-0.14130434782608695,-0.3839861652174247,-0.3695652173913043
"('GBIF:5285637', 'Pinus sylvestris')",203102.0,0.1375,-0.33461584779599485,-0.3
"('GBIF:5284884', 'Picea abies')",201102.0,-0.10294117647058823,-0.46455021093861926,-0.5735294117647058
"('GBIF:5331916', 'Betula pendula')",200320.0,0.3235294117647059,-0.3831869399343448,-0.6764705882352942
"('GBIF:2705308', 'Dactylis glomerata')",180440.0,-0.029411764705882353,-0.23097572362278246,-0.47058823529411764
"('GBIF:2880130', 'Quercus petraea')",178256.0,-0.12962962962962962,-0.5188443064735054,-0.7777777777777778
"('GBIF:2879098', 'Quercus ilex')",164872.0,0.14,-0.23730536130536126,-0.2
"('GBIF:5333294', 'Castanea sativa')",162194.0,0.07894736842105263,-0.3411983011828213,-0.2894736842105263
"('GBIF:2704178', 'Poa pratensis')",153826.0,0.42857142857142855,-0.15739795918367344,-0.5714285714285714
