Node,Betweenness_centrality,First Author Score,Team Score,Last Author Score
"('GBIF:2436436', 'Homo sapiens')",0.08430832608294977,0.17045454545454544,-0.17811317885331038,-0.3181818181818182
"('GBIF:7595433', 'Salmo salar')",0.04519753639124,0.06944444444444445,-0.1912365051628068,-0.2361111111111111
"('GBIF:2384899', 'Lutjanus sebae')",0.044240115929659506,0.02,-0.14838485240249943,-0.3
"('GBIF:2882316', 'Fagus sylvatica')",0.0423222422865369,-0.14130434782608695,-0.3839861652174247,-0.3695652173913043
"('GBIF:8351946', 'Clupea harengus')",0.040522472364381876,-0.017857142857142856,-0.25493972707642654,-0.35714285714285715
"('GBIF:5073713', 'Drosophila melanogaster')",0.03406479356603651,-0.011904761904761904,-0.2405234315948602,-0.25
"('GBIF:5212031', 'Dascyllus trimaculatus')",0.031660755710346614,0.0,-0.35182748538011693,-0.6666666666666666
"('GBIF:5361880', 'Cannabis sativa')",0.02895535568523331,-0.19767441860465115,-0.24101459188326493,-0.27906976744186046
"('GBIF:2878688', 'Quercus robur')",0.026650822937694354,0.07954545454545454,-0.3213792725949174,-0.48863636363636365
"('GBIF:3152205', 'Theobroma cacao')",0.02455260839271263,0.09090909090909091,-0.16116236704471995,-0.3181818181818182
