Node,Closeness_centrality,First Author Score,Team Score,Last Author Score
"('GBIF:2436436', 'Homo sapiens')",0.4962684797417534,0.17045454545454544,-0.17811317885331038,-0.3181818181818182
"('GBIF:8351946', 'Clupea harengus')",0.46519849773390776,-0.017857142857142856,-0.25493972707642654,-0.35714285714285715
"('GBIF:7595433', 'Salmo salar')",0.46389128142995173,0.06944444444444445,-0.1912365051628068,-0.2361111111111111
"('GBIF:2440958', 'Cervus elaphus')",0.4576844429248017,0.14516129032258066,-0.2569950658660336,-0.5806451612903226
"('GBIF:2878688', 'Quercus robur')",0.45363800937923,0.07954545454545454,-0.3213792725949174,-0.48863636363636365
"('GBIF:5073713', 'Drosophila melanogaster')",0.4507300734216708,-0.011904761904761904,-0.2405234315948602,-0.25
"('GBIF:5285637', 'Pinus sylvestris')",0.449769028489002,0.1375,-0.33461584779599485,-0.3
"('GBIF:7705930', 'Sus scrofa')",0.4490774853346133,0.3055555555555556,-0.16884481712913085,-0.4444444444444444
"('GBIF:9705453', 'Parus major')",0.44533780653344535,0.01,-0.3060554880685086,-0.36
"('GBIF:2879098', 'Quercus ilex')",0.44492033495478733,0.14,-0.23730536130536126,-0.2
