Node,Clustering_coefficient,First Author Score,Team Score,Last Author Score
"('GBIF:9694948', 'Thunnus alalunga')",1.0,1.0,0.0208333333333333,-1.0
"('GBIF:2259412', 'Astrangia poculata')",1.0,-1.0,-0.6666666666666666,0.0
"('GBIF:9113937', 'Arinia hoeksemai')",1.0,-1.0,-0.6666666666666666,0.0
"('GBIF:2260119', 'Favia fragum')",1.0,-1.0,-0.6666666666666666,0.0
"('GBIF:1334527', 'Chelostoma florisomne')",1.0,1.0,-0.3333333333333333,-1.0
"('GBIF:8310060', 'Rhynchophorus ferrugineus')",1.0,-1.0,-1.0,-1.0
"('GBIF:8190192', 'Lebinthus luae')",1.0,-1.0,-1.0,-1.0
"('GBIF:3152573', 'Hibiscus lunariifolius')",1.0,-1.0,-0.25,0.5
"('GBIF:7330275', 'Vismia guianensis')",1.0,-1.0,-0.7857142857142857,-1.0
"('GBIF:7946179', 'Davilla alata')",1.0,-1.0,-0.7857142857142857,-1.0
