Node,Neighborhood_connectivity,First Author Score,Team Score,Last Author Score
"('GBIF:2879127', 'Quercus castanea')",388.0,-1.0,-0.7,-1.0
"('GBIF:5219461', 'Elephas maximus')",368.5,-1.0,-0.9166666666666667,-1.0
"('GBIF:3227348', 'Lactobacillus plantarum')",323.0,1.0,0.3333333333333333,1.0
"('GBIF:5001019', 'Phoebe phoebe')",319.0,-1.0,-0.3928571428571428,-1.0
"('GBIF:6191893', 'Specioporus speciosus')",297.0,-1.0,-0.4821428571428571,-1.0
"('GBIF:2517693', 'Hemileia vastatrix')",279.3333333333333,-1.0,-0.4545454545454545,-1.0
"('GBIF:8733002', 'Vitis mesoamericana')",264.0,-1.0,-1.0,-1.0
"('GBIF:3974700', 'Vachellia tortilis')",264.0,-1.0,-0.4583333333333333,-1.0
"('GBIF:5334638', 'Cosmibuena grandiflora')",262.5,-1.0,-0.3055555555555556,-1.0
"('GBIF:8384488', 'Tragosoma depsarium')",249.875,-1.0,-0.5625,-1.0
