Node,Strength,First Author Score,Team Score,Last Author Score
"('GBIF:2878688', 'Quercus robur')",1670,0.07954545454545454,-0.3213792725949174,-0.48863636363636365
"('GBIF:2882316', 'Fagus sylvatica')",1520,-0.14130434782608695,-0.3839861652174247,-0.3695652173913043
"('GBIF:2436436', 'Homo sapiens')",1410,0.17045454545454544,-0.17811317885331038,-0.3181818181818182
"('GBIF:5285637', 'Pinus sylvestris')",1270,0.1375,-0.33461584779599485,-0.3
"('GBIF:5284884', 'Picea abies')",1166,-0.10294117647058823,-0.46455021093861926,-0.5735294117647058
"('GBIF:5331916', 'Betula pendula')",1144,0.3235294117647059,-0.3831869399343448,-0.6764705882352942
"('GBIF:2182873', 'Ixodes uriae')",1114,0.17708333333333334,-0.2122679114866615,-0.5625
"('GBIF:2705308', 'Dactylis glomerata')",1036,-0.029411764705882353,-0.23097572362278246,-0.47058823529411764
"('GBIF:8351946', 'Clupea harengus')",1028,-0.017857142857142856,-0.25493972707642654,-0.35714285714285715
"('GBIF:8208358', 'Plantago lanceolata')",962,0.4230769230769231,-0.18621794871794872,-0.46153846153846156
