Node,Neighborhood_connectivity,First Author Score,Team Score,Last Author Score
B26,50.42857142857143,-0.5,-0.5520310357072884,-0.5
B62,49.57142857142857,0.2,-0.30522875816993467,0.1
B65,48.8,0.2,-0.2,-0.6
B48,48.666666666666664,-1.0,-0.8518518518518517,-1.0
B47,46.5,-0.6,-0.5393939393939393,-0.6
B27,45.333333333333336,-0.25,-0.4751003599114064,-0.75
B56,42.5,0.7142857142857143,-0.0425170068027211,-0.42857142857142855
B38,42.22222222222222,-0.14285714285714285,-0.40952380952380946,-0.42857142857142855
B50,41.142857142857146,0.0,-0.2648809523809524,0.0
B21,40.84615384615385,-0.14285714285714285,-0.27515976087404653,-0.30952380952380953
