Node,Avg_weight_end_point_degree,First Author Score,Team Score,Last Author Score
L3,68.01623376623377,-0.0975609756097561,-0.3576788032954058,-0.5
L16,67.96,-0.35,-0.4149214277785706,-0.6071428571428571
L62,67.92307692307692,-0.07142857142857142,-0.2822714983429269,-0.42857142857142855
L49,67.88118811881188,-0.02040816326530612,-0.22930157749456437,-0.336734693877551
L11,67.88051948051948,-0.4263157894736842,-0.35167561828592203,-0.5052631578947369
L26,67.87687687687688,0.07317073170731707,-0.18504262505786898,-0.2926829268292683
L25,67.85846153846154,-0.10975609756097561,-0.26387468712952306,-0.08536585365853659
L29,67.83663366336634,-0.40384615384615385,-0.3285567471776986,-0.49038461538461536
L60,67.80622009569377,-0.27876106194690264,-0.29426956861216064,-0.5132743362831859
L59,67.80102040816327,0.0,-0.23307756463756535,-0.4166666666666667
