,bt5,bt6,bt7,bt8,bt9,bt10,bt11,bt12,bt13,lda6
Topic -1,5.961149973613228,5.783105900646035,5.410564129841019,0.17195102507172172,0.17517580708368038,0.16797193305954197,6.47241099381181,6.869468013437002,5.781125771177453,
Topic 0,11.663764717885533,6.610194916766177,8.481242452311298,0.05953308372345649,0.1326619327411831,0.127051518978317,7.3439655011091345,6.683408729644951,6.824084360707042,
Topic 1,6.29490495278963,7.7635723582884415,7.832408710376304,0.17712522659992394,0.16724773996189535,0.3564914022419572,8.423236041269137,5.60950004960495,8.411119235822063,
Topic 2,4.494120000595471,6.555280206198885,7.480816686024548,0.28133128494840365,0.22698081848011148,0.2322242035064794,4.383680294973794,4.443407476003227,7.191188876507613,
Topic 3,14.614062498787128,9.038056529831687,8.020067342252839,0.15391318752289476,0.21111282016526847,0.2830798314868704,8.9314139123879,11.046552672147117,6.6097720782572935,
Topic 4,8.777349979712898,4.744103645167115,4.752346142928598,0.20968548901756176,0.2519374965388138,0.2571264013685406,5.12600361972366,6.770822895116398,12.255056779648783,
Topic 5,12.8431752870236,7.04642603028968,10.563782290559843,0.32343565938691726,0.49180939494297776,0.19380223042671366,8.999221626897636,8.7538384238964,4.715334804907803,
Topic 6,3.9802313302029932,9.366083582802979,7.359234825440049,0.2558457153886733,0.2948068986609918,0.651482938351428,7.544742584697602,7.96601600999201,8.688909683213772,
Topic 7,6.499240483999025,8.052643318498824,9.411072382344045,0.47106805500491244,0.3519186055271282,0.5530518289538734,9.12416843811666,8.388659864588764,9.800329262306509,
Topic 8,6.731553641592354,6.740673747621124,7.7185170596380095,0.24968994984328163,0.3896598711310761,0.28631793179826476,11.974929501231902,7.9321728141513885,4.989420442418572,
Topic 9,5.677654947554386,4.744123841489506,4.859387300859542,0.21655606527571145,0.5678630094356316,0.31999072042040744,5.271024796199496,6.44554824809708,5.296847573048909,
Topic 10,5.858917644369833,10.519565169579245,8.073271984698975,0.3221800810397365,0.28843793005364526,0.41341777192636675,7.932172250478098,10.42180962155089,8.388659867822376,
Topic 11,8.059400185034248,7.72055363790733,7.656279447510942,0.28828195345468743,0.10700890861374952,0.4364183904729268,6.111019685214155,4.82730599408331,7.877550460143536,
Topic 12,8.231417295329742,9.056059828742354,5.4877849799059195,0.574774739062665,0.2551977399340166,0.35404435804815515,16.146787914419352,15.958235646249111,15.958236089475157,
Topic 13,14.543265134901203,5.487785108584206,5.137293178265282,0.2665260899821343,0.4074498545790368,0.6369757766510398,8.999896481448728,4.942210435109499,6.2811907296125264,
Topic 14,9.908502368214725,8.14602018299069,8.56514671350205,0.34814398543158476,0.41349121822401624,0.4630931776426911,8.286278467705177,8.82208071888818,5.483381319460474,
Topic 15,14.902677971676042,10.838813775546537,8.322148060623064,0.40744770396380525,0.496283240905527,0.5173012190273518,4.314824505111581,8.266418443460932,11.055082478563236,
Topic 16,7.47803346462004,14.70833100660537,11.902224976634807,0.33881245916023045,0.23278576596237524,0.34011802846402667,13.408946928573066,5.820442734295769,6.423453260286823,
Topic 17,8.553918148691,5.177117700213324,13.758871241571585,0.5371306872337478,0.45265302544317443,0.6808056424599742,9.10642650238462,9.936175370656983,5.4582656310995965,
Topic 18,9.442593827410311,7.881288172285122,10.03413320743288,0.49761557273082246,0.5271535300077692,0.3255502847222743,7.129379520910857,11.546405144584453,10.297627842796242,
Topic 19,11.800138425117726,6.680934125962663,12.964280480184092,0.4651593524965418,0.2655083020880026,0.8654668061012998,11.913819707710365,6.332294586237046,13.59302304502173,
Topic 20,2.581481034985856,13.408946963284869,6.680934023130217,0.34474959477684,0.5263336629334375,0.8315059640000344,10.034132869867312,13.408946849628519,7.129379212737496,
Topic 21,11.922246958202434,12.17797487950241,10.595031925984221,0.490248067209774,0.37705701721787693,0.5427796946159823,4.482955681200135,9.275699096660174,9.27569936645872,
Topic 22,8.776402471761605,5.333352519397425,4.789010366096563,0.46510457695270885,0.3854112449934084,0.5825335600684908,6.894385459016079,7.129379520910857,5.333351603995555,
Topic 23,14.778801680634947,6.308634623569162,11.309025106891477,0.49083455254877456,0.5091439739491768,0.9427965600010589,11.176256759419068,12.043822402294044,14.49841461315175,
Topic 24,5.423447475687325,9.462540647346762,8.09999397863744,0.36777143042393406,0.7533418048101166,0.412807562129198,5.639793359900814,11.712089050409,10.893107639112152,
Topic 25,9.913754593634026,7.219318099120699,11.320999570758904,0.3840441973579114,0.44386612431102535,0.7775762853513795,11.966773321575126,6.058995715068213,10.08481221964699,
Topic 26,12.634346067976088,3.980231255037215,3.980231255037215,0.6253135630531244,0.46985259118232153,0.9482441389223414,12.495667068812226,11.913819970036604,6.735862196046812,
Topic 27,8.216311274196453,4.099989444151092,0.0,0.20836909256470365,1.0794331755097921,0.643048769264662,3.980231255037215,9.234926111748862,13.01278504302091,
Topic 28,5.9299490558522505,11.32100040967746,8.290001122122202,0.5015608265963519,0.5088744720773906,0.38034719906876563,11.438605772743987,11.411385126974002,6.0374559109738115,
Topic 29,9.970867782980415,5.357146817685648,10.578688083249919,0.7208561785047335,0.3417328237515692,1.6571104371619434,0.48670963257206645,13.01278438482959,3.980231255037215,
Topic 30,10.423191168930964,8.231416342583788,4.529537042208672,0.3128076556183167,1.6832812933566785,0.6124369685888018,7.755134536285949,5.639793132245957,14.405398175204741,
Topic 31,7.037586557196435,6.692133999347052,8.231416313058759,1.0641381620094896,0.78193144942295,0.5520597654168965,7.743512305884064,3.980231255037215,7.743512053059531,
Topic 32,14.40408509940675,0.6280934539716043,9.760796484268054,0.6000263481241395,0.6021196644455348,0.20122111850122082,9.652278996010342,9.200641264988981,9.2006403790684,
Topic 33,9.320837857514963,6.348990650682948,12.530181151343056,0.4757306404243674,0.6071304358345918,2.3361230497247814,11.835854219571425,9.897601114423429,9.234419238263992,
Topic 34,16.448234704863633,8.823656857024687,5.392722512109846,1.638592034398116,0.4150048000308057,0.8655733528595106,8.1262830245487,7.74351239855953,0.5948427238754092,
Topic 35,10.028206034445756,11.613645794248232,8.954962947769882,0.664812972568543,0.665840207629069,0.7935719788534975,4.9576733452519965,7.772794322240388,7.343181414637925,
Topic 36,10.45279375501547,13.575992562237683,6.819451707642458,0.6364581605371231,0.34633505649832313,0.5515203214432449,13.030577262277175,14.522083307727364,11.821844758187103,
Topic 37,7.426863921550293,8.079576029439123,4.641043221279263,0.6877779035568768,0.5958545941927368,0.6301650549840679,10.766270506775067,9.471421885286935,9.652278605019042,
Topic 38,11.728824093688651,4.641043221279263,13.494767200476808,0.4388078635582111,0.5290230670945659,0.8107877736276078,7.6241075611458555,4.957673673770756,9.534458763780872,
