Topic,Words,Probabilities
Topic -1,"of, et, al, species, we, were, at, between, data, an","0.012509945190505679, 0.009191422378797231, 0.009179963809332928, 0.008325686344236258, 0.00752458548191119, 0.006975201042248196, 0.006370621214565953, 0.005691397452371765, 0.004763004017000295, 0.004746271701617107"
Topic 0,"genetic, loci, from, populations, et, samples, individuals, dna, sequences, gene","0.014930030932130094, 0.010335845201666116, 0.01014046564301072, 0.009722625105399544, 0.008882655813074087, 0.00708519903719095, 0.006656432990896654, 0.006592987558407134, 0.006583997827570765, 0.006528131296190979"
Topic 1,"forest, tree, forests, al, trees, growth, model, climate, drought, plots","0.024419745964369834, 0.01590903482749539, 0.012446291965362363, 0.011329701919487716, 0.00948111773631788, 0.00890510103365903, 0.007952367461278935, 0.00789018358884346, 0.007786739653366003, 0.00677087289407885"
Topic 2,"dispersal, species, climate, range, invasion, invasive, niche, sdm, climatic, from","0.025615063502967404, 0.012536495009489945, 0.010573310791322241, 0.009421126626647945, 0.00851325418968354, 0.008368865687228035, 0.00777392920821322, 0.006890356331099655, 0.00672360455481546, 0.006360290369424464"
Topic 3,"survival, age, breeding, probabilities, population, models, reproduction, females, individual, parameters","0.021057750123752588, 0.020568534431081902, 0.015837819763385993, 0.013132734708842152, 0.011082303495745344, 0.011011806337271475, 0.010163607407105483, 0.009346822224595189, 0.008827581139517598, 0.008279703558142568"
Topic 4,"social, network, movement, individuals, data, behavioural, lions, betweenness, deer, strength","0.01416450626144573, 0.01243760905995586, 0.00994810186640876, 0.009803267012012685, 0.009535030815935997, 0.008442501867112123, 0.007738756144174609, 0.007464944152757616, 0.007301217296967959, 0.007030855972924047"
Topic 5,"biomass, stability, nutrient, webs, species, prey, trophic, metabolic, rate, resource","0.019710067573577492, 0.016571969960452237, 0.01596866076265072, 0.015552119648112737, 0.012917849655208782, 0.012845561360931197, 0.011200001410716826, 0.010451792766625678, 0.010323670429104514, 0.009551226357429613"
Topic 6,"research, archive, ecology, cite, ouverte, franais, trangers, publics, scientifiques, laboratoires","0.0264437544229717, 0.02122142842222058, 0.01518777451583564, 0.01272540443489814, 0.012438359699135962, 0.012359389607308646, 0.012317334378259112, 0.012317334378259112, 0.012311453451969444, 0.01229973388135271"
Topic 7,"litter, decomposition, soil, microbial, fungal, detritivore, streams, decomposers, litters, fig","0.06116012795515734, 0.03224357330120865, 0.0116851320322188, 0.011211407171465959, 0.009600473982652229, 0.008655142212916992, 0.008247343427910152, 0.008214971151597285, 0.0077752995910808, 0.007540048932097946"
Topic 8,"people, heritage, nature, farmers, knowledge, cultural, local, resilience, et, social","0.014437441874952918, 0.013914833627419122, 0.012025155658356318, 0.01177976184384133, 0.010873356352106268, 0.01050294720865048, 0.009470969609764176, 0.008938624877146143, 0.008711607512177297, 0.008290380247252292"
