Topic	Words	Probabilities
Topic -1	('ecology', 'traits', 'species', 'populations', 'trait', 'diversity', 'breeding', 'plant', 'environmental', 'variation')	(0.4860731, 0.4120262, 0.3838819, 0.37546337, 0.35158983, 0.3160602, 0.28673154, 0.28450322, 0.25933075, 0.23245683)
Topic 0	('litter', 'litters', 'decomposers', 'biomass', 'decomposer', 'litterbags', 'decomposing', 'soil', 'detritivores', 'nutrient')	(0.49817902, 0.47121197, 0.39015043, 0.3593855, 0.35505483, 0.3471255, 0.3418358, 0.3267972, 0.32251626, 0.3089881)
Topic 1	('ecology', 'ecologie', 'scientifiques', 'evolution', 'cite', 'doi', 'cited', 'scientific', 'biology', 'research')	(0.51456416, 0.39898947, 0.34410822, 0.27615142, 0.25556472, 0.25541273, 0.2540201, 0.23600788, 0.22831169, 0.22784051)
Topic 2	('ecology', 'zoology', 'biodiversity', 'biological', 'biology', 'evolution', 'conservation', 'biologa', 'botany', 'ecologa')	(0.38800013, 0.36684817, 0.3543082, 0.3248749, 0.25530568, 0.25424126, 0.24223602, 0.23500726, 0.22393289, 0.19011663)
Topic 3	('virulence', 'parasites', 'parasite', 'infectious', 'virulent', 'infections', 'epidemic', 'parasitica', 'evolutionary', 'infected')	(0.5672017, 0.49938175, 0.49459118, 0.4350401, 0.42115968, 0.41229326, 0.39411995, 0.39146942, 0.37499574, 0.37410808)
Topic 4	('recapture', 'emigration', 'survival', 'captured', 'markovian', 'capture', 'models', 'recruitment', 'sampling', 'estimation')	(0.49976334, 0.4130761, 0.35255218, 0.35041913, 0.3234089, 0.3102445, 0.27858084, 0.27469075, 0.26551783, 0.25833058)
Topic 5	('bees', 'bee', 'plantbee', 'pollination', 'nectar', 'foraging', 'honey', 'habitats', 'species', 'bumblebees')	(0.6302749, 0.55137646, 0.41678554, 0.39578262, 0.37382406, 0.36829707, 0.3607781, 0.33018506, 0.32784367, 0.32655287)
Topic 6	('lm', '0m7m1', 'l0', 'bm', 'uorb1', 'lv', 'm7v1r', 'uvb77', '0bo7b', 'o0')	(0.30294722, 0.3015706, 0.3003063, 0.28944474, 0.28451246, 0.2769106, 0.2712337, 0.26595625, 0.2600516, 0.25953943)
Topic 7	('roots', 'root', 'soil', 'nutrientrich', 'plant', 'mycorrhizal', 'biomass', 'traits', 'herbaceous', 'morphological')	(0.5192095, 0.4041531, 0.37370244, 0.29362825, 0.28167668, 0.2630502, 0.26069257, 0.258155, 0.256747, 0.24534611)
Topic 8	('analyzed', 'research', 'data', 'analysed', 'study', 'authors', 'accessibility', 'dryad', 'doi', 'science')	(0.40277362, 0.36508858, 0.35390627, 0.30308807, 0.24741179, 0.24350753, 0.24140857, 0.23623878, 0.23549162, 0.21743062)
Topic 9	('herbivores', 'herbivory', 'trees', 'forests', 'herbivore', 'quercus', 'forest', 'leaves', 'phylogenetic', 'tree')	(0.40239167, 0.39654437, 0.38827243, 0.37838286, 0.3618358, 0.35733172, 0.35212332, 0.3338991, 0.32784525, 0.30772358)
Topic 10	('fisheries', 'fish', 'ecology', 'freshwater', 'phytoplankton', 'scientifiques', 'marine', 'ocean', 'hal', 'cite')	(0.5086925, 0.42727652, 0.39040542, 0.36710405, 0.32569897, 0.2981521, 0.2872015, 0.27657875, 0.24412303, 0.24079531)
Topic 11	('editing', 'methodology', 'research', 'manuscript', 'analysis', 'corrections', 'investigation', 'resources', 'writing', 'writingoriginal')	(0.41454285, 0.40926445, 0.40322185, 0.3969069, 0.3676771, 0.3622312, 0.355888, 0.3510554, 0.35046536, 0.34577107)
Topic 12	('flowering', 'pollination', 'plants', 'crops', 'flowers', 'flower', 'floral', 'pollinators', 'pollinator', 'plant')	(0.5134476, 0.48861745, 0.43776435, 0.4302832, 0.4229797, 0.4080355, 0.40132815, 0.39288145, 0.36903778, 0.3548581)
Topic 13	('aphids', 'aphid', 'parasitoids', 'parasitoid', 'insects', 'aphidius', 'parasitism', 'predators', 'herbivore', 'hyperparasitoids')	(0.6394013, 0.61180633, 0.5854038, 0.5317689, 0.51038504, 0.4713564, 0.42844427, 0.3696068, 0.3568329, 0.349688)
Topic 14	('fungi', 'fungal', 'soils', 'ectomycorrhizal', 'soil', 'plants', 'mycorrhizal', 'basidiomycota', 'abundances', 'microbiota')	(0.51521105, 0.44205096, 0.36547282, 0.35805613, 0.3572709, 0.3372088, 0.3151617, 0.30999798, 0.2664765, 0.26246542)
Topic 15	('parasitoids', 'parasitoid', 'parasitism', 'species', 'flies', 'infestation', 'invasions', 'plants', 'diptera', 'tephritidae')	(0.5905255, 0.5532896, 0.47383666, 0.44999415, 0.3900348, 0.3881743, 0.37160617, 0.34446454, 0.3404488, 0.33874053)
Topic 16	('forests', 'forest', 'trees', 'climatic', 'climate', 'ecology', 'drought', 'tree', 'pine', 'spruce')	(0.51603484, 0.47525692, 0.4728065, 0.43586275, 0.41547823, 0.3998239, 0.38692126, 0.38534307, 0.3411356, 0.32733554)
Topic 17	('mediterranean', 'lineages', 'phoenicea', 'populations', 'genetic', 'portugal', 'lineage', 'microsatellite', 'oceanic', 'atlantic')	(0.37163994, 0.33305326, 0.32724848, 0.31164744, 0.30687767, 0.30657315, 0.3028795, 0.28779352, 0.28074303, 0.26515964)
Topic 18	('species', 'climate', 'climatic', 'dispersal', 'niche', 'habitat', 'accuracy', 'models', 'forecasting', 'csdms')	(0.44884795, 0.42125803, 0.37985444, 0.3579929, 0.3278861, 0.27905273, 0.23129584, 0.21470311, 0.19561943, 0.19410622)
