Topic	Words	Probabilities
Topic -1	['the', 'of', 'and', 'in', 'to', 'for', 'al', 'et', 'species', 'with', 'on', 'that', 'is', 'by', 'we']	[0.012822955503067899, 0.012129897887094353, 0.011710377272376008, 0.011260683400104114, 0.010779015195634156, 0.009134850252989074, 0.00893018750265542, 0.008919028512561518, 0.007860127335881059, 0.007858289369038486, 0.007807045018034223, 0.007758654072531459, 0.007731529789507767, 0.007559909230929698, 0.007277149081155807]
Topic 0	['genetic', 'the', 'of', 'were', 'and', 'was', 'for', 'loci', 'from', 'populations', 'using', 'in', 'with', 'to', 'al']	[0.014638953222722639, 0.0141214670290767, 0.01199186133703341, 0.011827910152366382, 0.011699518146068852, 0.010188843660089106, 0.010184875899668999, 0.010108022625061676, 0.010061038529334935, 0.009958391087690465, 0.009814865772819419, 0.009738058131791336, 0.009710946743414791, 0.009544355968885034, 0.008686589740205065]
Topic 1	['species', 'functional', 'the', 'diversity', 'of', 'trait', 'phylogenetic', 'and', 'to', 'in', 'community', 'is', 'that', 'we', 'al']	[0.019980233522223747, 0.014439367178372627, 0.013773865032996019, 0.013088621809630658, 0.012622132376431063, 0.011645577774049778, 0.011253062277753582, 0.0112465496058657, 0.010911011416814744, 0.010410355035079435, 0.010105059563264213, 0.009990712995871367, 0.009711061340279093, 0.009545417384966535, 0.00946994567751373]
Topic 2	['fish', 'the', 'and', 'in', 'of', 'lakes', 'to', 'for', 'al', 'et', 'trophic', 'on', 'prey', 'lake', 'were']	[0.018915270203964107, 0.012704843103210977, 0.012679640850244162, 0.012172486625468009, 0.012103306292313683, 0.011126821071697162, 0.010238360192036049, 0.009555325803500351, 0.009369572783741868, 0.009207171249301985, 0.008979659766806961, 0.008576333471783487, 0.008416253770078893, 0.008326852033467367, 0.008173653446560309]
Topic 3	['dispersal', 'the', 'of', 'species', 'and', 'al', 'et', 'to', 'in', 'climate', 'for', 'that', 'range', 'we', 'on']	[0.02474497715074757, 0.012633733872341119, 0.01252778782056146, 0.01241180612596809, 0.01198708683393054, 0.011703759153865846, 0.011453760210392685, 0.011019650993492166, 0.010917873213521912, 0.009852091785376013, 0.009701967073496662, 0.008834922897244118, 0.008787259136263312, 0.008289198944574945, 0.008256234200944089]
Topic 4	['forest', 'tree', 'the', 'and', 'forests', 'of', 'in', 'al', 'to', 'et', 'trees', 'growth', 'stand', 'for', 'light']	[0.023820790029935306, 0.018016623310303723, 0.012643907445627238, 0.012435255476777868, 0.012075834292768508, 0.011787591515000181, 0.011638784824833829, 0.011450716762085455, 0.01144819389468777, 0.011308315726739982, 0.010335228160007572, 0.010051065979021006, 0.009263184742410417, 0.009086154051287746, 0.009029295404177289]
Topic 5	['social', 'the', 'to', 'network', 'of', 'and', 'in', 'for', 'data', 'we', 'movement', 'individuals', 'al', 'et', 'that']	[0.013852800972469104, 0.013048156293736348, 0.01255990770251773, 0.012248577011491376, 0.012078363420809472, 0.011101441579254303, 0.010081838024679863, 0.009873550251301953, 0.009820104067545073, 0.009718314904472971, 0.009677767312043742, 0.009527059632604487, 0.008475990601302991, 0.00840145167666688, 0.008334432864817238]
Topic 6	['de', 'hal', 'documents', 'ou', 'research', 'france', 'des', 'recherche', 'archive', 'or', 'ecology', 'university', 'la', 'access', 'open']	[0.031376968073523914, 0.02848509056773956, 0.028385825654611212, 0.02727308599796313, 0.025994909970833112, 0.022498791361050572, 0.021547455409438438, 0.021211476713828902, 0.020914189551783088, 0.017309129421607283, 0.014777908684284441, 0.014119167885750116, 0.013136618987815405, 0.01305244587668377, 0.012746536755214198]
Topic 7	['litter', 'decomposition', 'leaf', 'and', 'the', 'in', 'of', 'mass', 'was', 'soil', 'microbial', 'to', 'fungal', 'were', 'detritivore']	[0.060553686720863274, 0.032440267165597066, 0.01858667483046509, 0.012778256938098583, 0.01254104810844208, 0.012081899290704252, 0.01162934746143276, 0.011385500696169233, 0.010813479285392289, 0.010497666819352183, 0.010249604206570588, 0.009977649014905958, 0.009734846055723124, 0.009380482587821547, 0.00937159628901186]
Topic 8	['age', 'survival', 'probability', 'model', 'breeding', 'probabilities', 'the', 'state', 'of', 'in', 'models', 'and', 'to', 'for', 'individuals']	[0.023667208902756226, 0.022170788221915615, 0.02013489118544749, 0.018109222899098602, 0.016946311714956853, 0.01661816224729968, 0.014644875135858463, 0.013453821954384272, 0.01237747727477848, 0.012176848267444366, 0.011918212864198524, 0.011053142925856255, 0.011043328567584445, 0.01081489949241758, 0.010711842521519063]
