"Topic	Words	Probabilities",,,,,,,,,,,,,,,,,,
"Topic -1	('https'", 'and', 'ecology', 'of', 'in', 'the', 'species', 'for', 'to'," 'al')	(0.0016130661117352513",0.001600762,0.001574535,0.001573276,0.001546061,0.001542388,0.001518194,0.001501809,0.001456647, 0.0014373412680530073)
"Topic 0	('hal'", 'documents', 'ou', 'archive', 'recherche', 'des', 'de', 'research', 'france'," 'ouverte')	(0.014587168598609744", 0.014533503752945216,0.013559505,0.011321717,0.010977248,0.009957092,0.009689945,0.009114668,0.00875127, 0.007364095328786609)
"Topic 1	('lizard'", 'lizards', 'thermal', 'water', 'thermoregulation', 'temperature', 'dupou', 'temperatures', 'ectotherms'," 'body')	(0.010877895245206737", 0.010874963107063911,0.009134374,0.008842017,0.008839105,0.006033375,0.006003744,0.005943566,0.005630125, 0.005517657423538471)
"Topic 2	('bee'", 'bees', 'wild', 'honey', 'pollen', 'floral', 'urban', 'crops', 'landscape'," 'pollination')	(0.02829160176567197",0.021833685, 0.010924284217111356,0.01048285,0.009202739,0.007761483,0.005986372,0.005818982,0.00555478, 0.005120459022173899)
"Topic 3	('functional'", 'trait', 'dark', 'diversity', 'traits', 'dispersion', 'richness', 'dimensionality', 'assemblages'," 'dissimilarity')	(0.013403811000138807",0.006984508,0.006576862,0.00604172,0.005640118,0.005420373,0.005359232,0.005182369,0.004449012, 0.0041807883613690375)
"Topic 4	('root'", 'roots', 'fineroot', 'diameter', 'fine', 'absorptive', 'srl', 'freschet', 'soil'," 'mechanical')	(0.036539102358837644", 0.021317821836973463, 0.012954228936202425, 0.011323939419565393, 0.010819834498482747, 0.010704742853696134, 0.010584857794033222,0.008358907,0.008203619, 0.008018288189094)
"Topic 5	('herbivory'", 'oak', 'tree', 'leaf', 'damage', 'trees', 'associational', 'phylogenetically', 'insect'," 'mildew')	(0.012373265420149694", 0.011494614517505468,0.011345983, 0.010650445892606174,0.010446643,0.009107818,0.008517785,0.008498507,0.008321933, 0.007919842815736558)
"Topic 6	('university'", 'department', 'institute', 'sciences', 'de', 'centre', 'universidad', 'usa', 'germany'," 'school')	(0.018673109626163264", 0.018086948611298604, 0.011879629790096357,0.009565472,0.009211813,0.008527436,0.007460674,0.006863806,0.006576437, 0.005554754612586257)
"Topic 7	('invasive'", 'invasion', 'alien', 'invasions', 'native', 'japonica', 'invasiveness', 'diffusa', 'success'," 'ecol')	(0.014807445813873598", 0.014746005718314137, 0.010480788845585379,0.009924163,0.009575204,0.005821193,0.005652882,0.005457247,0.005203459, 0.004572748379700163)
"Topic 8	('networks'", 'mutualistic', 'nestedness', 'interaction', 'pollinator', 'network', 'fidelity', 'modularity', 'plantpollinator'," 'interactions')	(0.019798810888930388", 0.012415904395700459, 0.010744681797077394, 0.010192677107265173,0.009565573,0.009561759,0.009403647,0.008803775,0.007988099, 0.006666869884995214)
"Topic 9	('emigration'", 'probability', 'capturerecapture', 'probabilities', 'state', 'pradel', 'survival', 'capture', 'recapture'," 'temporary')	(0.010510927301408405", 0.010475828541178235,0.009576327,0.009418977,0.008839599,0.008500494,0.008497487,0.007984547,0.00780459, 0.007441432132474674)
"Topic 10	('00'", 'na', '000', '003', 'betweenness', '004', '05', 'prm', '005'," '001')	(0.022371308507677847", 0.022326094459618664,0.009849846,0.008707301,0.008436771,0.008423629,0.007877907,0.007797833,0.006798845, 0.006649830542990356)
"Topic 11	('m7'", 'bm', 'mb', 'lc', '1b', 'm1', 'om', 'uvb', 'rul'," 'ou')	(0.07632240536058264",0.061249375,0.058405085, 0.046267202225929456, 0.043174179185712445, 0.042546522236901266,0.039888993,0.035555707,0.031843579, 0.031131785038619835)
"Topic 12	('floral'", 'flowering', 'pollinator', 'segetum', 'flower', 'jacea', 'pollinators', 'seed', 'focal'," 'urbanization')	(0.01625768332737666", 0.015973584135108243, 0.014207405219054073, 0.012540713508369423, 0.011153881942089598, 0.010898956046174484,0.009694014,0.008266358,0.007703149, 0.007091692502817586)
"Topic 13	('telomere'", 'telomeres', 'length', 'troc', 'helpers', 'chicks', 'lifespan', 'body', 'chick'," 'tl')	(0.04775356483081044", 0.018843468916395958, 0.014310974272433906, 0.012805457825138412, 0.011565548103066654,0.009018505,0.008926426,0.008106736,0.007812901, 0.00759492803393663)
"Topic 14	('egg'", 'eggs', 'leiria', 'larval', 'parasitoid', 'larvae', 'masses', 'wp', 'parasitoids'," 'drosophila')	(0.0189113268029127",0.015696763,0.011781748,0.008337064,0.008041918,0.006672569,0.006550527,0.006484065,0.006048753, 0.005964199120330981)
"Topic 15	('seals'", 'dive', 'dives', 'weddell', 'diving', 'seal', 'foraging', 'ice', 'prca'," 'elephant')	(0.025512016593091887", 0.024424753211455826,0.021793627, 0.018701012052253364, 0.013294159123015271, 0.011025106773637348, 0.010496773107916824,0.009985037,0.009579395, 0.009295500878426614)
"Topic 16	('trout'", 'tp', 'zooplankton', 'trophic', 'fish', 'body', 'medaka', 'roach', 'size'," 'largemouth')	(0.014024757018935427", 0.013562447159571354,0.013415159, 0.013238537233426877, 0.011866768123498005, 0.010344976725743655,0.009914737,0.009257502,0.008827366, 0.008706760340477597)
"Topic 17	('nest'", 'cavities', 'cavity', 'nesting', 'clutch', 'extra', 'nests', 'tits', 'boxes'," 'pair')	(0.03921687586045581",0.0175522, 0.016710574337853844,0.016328626, 0.016276732327784784,0.015638531, 0.013955666195652257, 0.013024012483385328, 0.012163868103997309, 0.011686621413175372)
