"Topic	Words	Probabilities",,,,,,,,,,,,,,,,,,
"Topic -1	('ecology'", 'species', 'habitat', 'populations', 'diversity', 'traits', 'environmental', 'communities', 'variation'," 'plant')	(0.5581909",0.4639312,0.44343567,0.37826908,0.36570305,0.334773,0.29798532,0.29615507,0.23045406, 0.2081528)
"Topic 0	('haplotypes'", 'genetic', 'populations', 'genome', 'species', 'gene', 'alleles', 'sequencing', 'diversity'," 'clusters')	(0.449197",0.41499037,0.4010604,0.36966717,0.3623912,0.3440246,0.33935702,0.2982337,0.25322968, 0.2508695)
"Topic 1	('ecological'", 'species', 'traits', 'phylogenetic', 'dispersal', 'trait', 'diversity', 'niche', 'plant'," 'environmental')	(0.52847743",0.43732333,0.43115097,0.41658676,0.38857183,0.38579363,0.3515962,0.3354594,0.25918543, 0.2515139)
"Topic 2	('forests'", 'vegetation', 'trees', 'forest', 'ecology', 'tree', 'climate', 'biomass', 'species'," 'beech')	(0.514922",0.5002304,0.48113412,0.4659684,0.40099716,0.3859046,0.3345025,0.33021212,0.30855858, 0.3034287)
"Topic 3	('dispersal'", 'species', 'habitat', 'populations', 'phenotypic', 'evolution', 'niche', 'climatic', 'climate'," 'invasions')	(0.71800125",0.47493413,0.43876746,0.43125653,0.39445347,0.37930828,0.3629523,0.35302156,0.345725, 0.33235988)
"Topic 4	('breeding'", 'recapture', 'reproduction', 'breeders', 'mortality', 'survival', 'models', 'reproductive', 'probabilities'," 'recruitment')	(0.43792248",0.37604186,0.3575505,0.3510967,0.34871805,0.32835573,0.27938992,0.27564535,0.27189127, 0.26003316)
"Topic 5	('ecology'", 'ecological', 'species', 'scientifiques', 'cite', 'doi', 'scientific', 'hal', 'research'," 'evolution')	(0.45154658",0.45026168,0.40195787,0.3258868,0.25313568,0.21965347,0.21943529,0.21365172,0.21268633, 0.21201336)
"Topic 6	('litter'", 'litters', 'ecosystem', 'decomposers', 'litterbags', 'decomposer', 'biomass', 'soil', 'nutrient'," 'decomposition')	(0.5245605",0.49321935,0.40642068,0.3852887,0.357674,0.35046697,0.34011167,0.31015384,0.30600995, 0.28536487)
"Topic 7	('ecological'", 'conservation', 'heritage', 'ecosystem', 'stakeholders', 'cultural', 'nature', 'land', 'resilience'," 'value')	(0.50609684",0.46544498,0.4654256,0.45215568,0.4053394,0.37785196,0.35505983,0.34130692,0.3221808, 0.31538123)
"Topic 8	('lizards'", 'lizard', 'reptiles', 'thermoregulation', 'warming', 'climate', 'temperatures', 'temperature', 'dehydration'," 'hydroregulation')	(0.46454215",0.4239922,0.40223375,0.38991106,0.35376045,0.3412371,0.32365632,0.31319577,0.29489315, 0.29332447)
"Topic 9	('vegetation'", 'grassland', 'crops', 'biodiversity', 'grasslands', 'landscape', 'landscapes', 'habitats', 'crop'," 'lawns')	(0.49687126",0.46083158,0.45011666,0.4305636,0.42002594,0.41893944,0.4131444,0.38565117,0.3641513, 0.34997022)
"Topic 10	('pathogens'", 'pathogen', 'parasites', 'parasite', 'virulence', 'evolutionary', 'infections', 'species', 'infected'," 'virulent')	(0.5746183",0.5533502,0.5431203,0.53767097,0.49302697,0.40748778,0.4055611,0.39287224,0.3825569, 0.3759044)
"Topic 11	('study'", 'methodology', 'editing', 'investigation', 'research', 'manuscript', 'supervision', 'publication', 'analysis'," 'writingoriginal')	(0.41209698",0.39283028,0.3886984,0.37565106,0.37341923,0.35815442,0.34523857,0.34016252,0.3394835, 0.3381207)
"Topic 12	('deer'", 'habitat', 'hunting', 'animals', 'prey', 'diurnality', 'animal', 'abundance', 'lynx'," 'lion')	(0.4581787",0.44225296,0.40014893,0.38318446,0.37860233,0.31008205,0.30951673,0.27987874,0.25657237, 0.23376323)
