Topic	Words	Probabilities
Topic -1	('ecology', 'species', 'habitat', 'populations', 'environmental', 'diversity', 'plants', 'communities', 'traits', 'variation')	(0.574119, 0.4645488, 0.412288, 0.38530383, 0.313842, 0.2974967, 0.28965628, 0.2860831, 0.24654992, 0.20125055)
Topic 0	('breeding', 'reproduction', 'demographic', 'reproductive', 'mortality', 'offspring', 'survival', 'species', 'nest', 'birds')	(0.49211866, 0.40521723, 0.37850353, 0.35101417, 0.3390882, 0.3212189, 0.32092357, 0.2942837, 0.29314688, 0.280031)
Topic 1	('genetic', 'haplotypes', 'populations', 'haplotype', 'species', 'alleles', 'gene', 'genome', 'dna', 'diversity')	(0.47175187, 0.4221124, 0.40292448, 0.38467148, 0.38000464, 0.3742517, 0.37023246, 0.35523695, 0.28378958, 0.2657566)
Topic 2	('forests', 'forest', 'vegetation', 'trees', 'ecology', 'tree', 'species', 'biomass', 'beech', 'climate')	(0.55110556, 0.50009537, 0.48814112, 0.4853629, 0.434013, 0.37834415, 0.32834405, 0.3148447, 0.305946, 0.30085877)
Topic 3	('dispersal', 'traits', 'species', 'trait', 'niche', 'germination', 'diversity', 'coexistence', 'seeds', 'seedling')	(0.45470092, 0.45239556, 0.43144226, 0.3973368, 0.386876, 0.3487236, 0.33396214, 0.31976777, 0.2998907, 0.2959523)
Topic 4	('ecological', 'ecology', 'scientifiques', 'biology', 'cite', 'scientific', 'evolution', 'research', 'doi', 'hal')	(0.45351365, 0.45086592, 0.3176566, 0.24337745, 0.24079409, 0.22782072, 0.22574162, 0.22323418, 0.20478193, 0.19873488)
Topic 5	('litter', 'litters', 'decomposers', 'litterbags', 'decomposer', 'ecosystem', 'decomposing', 'biomass', 'soil', 'decomposition')	(0.5568999, 0.5237792, 0.39527786, 0.39160946, 0.36681888, 0.36544174, 0.35177845, 0.33457363, 0.31958947, 0.3030119)
Topic 6	('ecological', 'conservation', 'ecosystem', 'heritage', 'stakeholders', 'resilience', 'cultural', 'nature', 'practices', 'understanding')	(0.51454055, 0.474749, 0.44513506, 0.4094069, 0.3991513, 0.38468832, 0.38354713, 0.38121158, 0.30077577, 0.2843144)
Topic 7	('habitat', 'deer', 'hunting', 'animals', 'prey', 'animal', 'diurnality', 'lynx', 'abundance', 'lion')	(0.44994286, 0.43898988, 0.41242367, 0.39661142, 0.38682196, 0.32270613, 0.31823343, 0.315529, 0.25928062, 0.25728628)
Topic 8	('editing', 'supervision', 'research', 'methodology', 'study', 'resources', 'publication', 'investigation', 'manuscript', 'funding')	(0.41236538, 0.4077705, 0.4000635, 0.3978043, 0.3974622, 0.3736503, 0.36253417, 0.36069214, 0.3562585, 0.35420763)
Topic 9	('vegetation', 'grassland', 'landscape', 'landscapes', 'habitats', 'hedgerows', 'biodiversity', 'crops', 'grass', 'weed')	(0.5005572, 0.49115163, 0.4261983, 0.42112258, 0.4059734, 0.40218842, 0.40118545, 0.4009496, 0.34011295, 0.3309974)
Topic 10	('species', 'ecology', 'ecological', 'biodiversity', 'zoology', 'ecosystem', 'biological', 'conservation', 'forest', 'biology')	(0.45594925, 0.4218054, 0.40002948, 0.39905003, 0.38913834, 0.37827426, 0.308896, 0.28700894, 0.26179412, 0.24290168)
Topic 11	('lizards', 'lizard', 'thermoregulation', 'reptiles', 'temperatures', 'temperature', 'climate', 'dehydration', 'hydroregulation', 'thermal')	(0.45010692, 0.41587543, 0.4137287, 0.40165097, 0.33313087, 0.32776302, 0.32408684, 0.30068505, 0.2869666, 0.26877886)
Topic 12	('ecosystem', 'nutrient', 'biomasses', 'biomass', 'nutrients', 'feeding', 'trophic', 'extinction', 'enrichment', 'prey')	(0.54427904, 0.38545185, 0.36801422, 0.35772234, 0.3431431, 0.31277895, 0.31194854, 0.3069396, 0.28269947, 0.27231336)
Topic 13	('ecological', 'pollinators', 'species', 'abundances', 'networks', 'pollinator', 'interactions', 'communities', 'nodes', 'plants')	(0.5042047, 0.44767573, 0.44295472, 0.39632443, 0.38206875, 0.38079196, 0.37264782, 0.36640158, 0.34301925, 0.34005553)
Topic 14	('dispersal', 'invasive', 'invasions', 'species', 'niche', 'habitat', 'invasion', 'populations', 'plants', 'climate')	(0.58593583, 0.528905, 0.5196891, 0.47339606, 0.4242341, 0.406996, 0.37661722, 0.34257764, 0.2920602, 0.28158534)
Topic 15	('dispersal', 'evolutionary', 'populations', 'species', 'phenotypic', 'evolution', 'dispersers', 'traits', 'genotypes', 'trait')	(0.7446929, 0.47551858, 0.41986376, 0.41120446, 0.40612918, 0.39423463, 0.39262772, 0.3532226, 0.32984328, 0.3289685)
Topic 16	('fishes', 'lakes', 'fish', 'zooplankton', 'lake', 'trout', 'perch', 'predation', 'whitefish', 'predators')	(0.5293166, 0.5044619, 0.44498417, 0.43528655, 0.43221945, 0.42721385, 0.4206893, 0.39273208, 0.38012046, 0.369637)
Topic 17	('coral', 'corals', 'corallioides', 'reef', 'reefs', 'algae', 'coralline', 'photosynthesis', 'algal', 'symbiodiniaceae')	(0.56237394, 0.5496315, 0.51534206, 0.46633807, 0.45153844, 0.43486807, 0.4176313, 0.37358373, 0.3309475, 0.32991654)
Topic 18	('bees', 'bee', 'pollination', 'foraging', 'nectar', 'bumblebees', 'honey', 'pollen', 'flowering', 'pollinators')	(0.63813317, 0.5550643, 0.4377607, 0.38731968, 0.38461924, 0.36030823, 0.35573924, 0.34614992, 0.34207064, 0.3391819)
Topic 19	('species', 'mimicry', 'prey', 'conspicuousness', 'evolution', 'predators', 'predation', 'predator', 'mating', 'phenotypes')	(0.5100286, 0.44901693, 0.43310046, 0.42384577, 0.42210808, 0.41730386, 0.40857434, 0.37823218, 0.3495878, 0.34497598)
Topic 20	('ants', 'ant', 'nests', 'forests', 'species', 'fungi', 'soil', 'trees', 'crematogaster', 'forest')	(0.5777272, 0.4739818, 0.37352747, 0.30263805, 0.2962091, 0.28636342, 0.2715711, 0.25944436, 0.24404739, 0.24370493)
Topic 21	('fungi', 'fungal', 'soils', 'soil', 'ectomycorrhizal', 'mycorrhizal', 'microbial', 'plants', 'species', 'rhizosphere')	(0.52873284, 0.463196, 0.3996979, 0.38552266, 0.37691963, 0.3583217, 0.35302776, 0.31833965, 0.29250145, 0.27505553)
Topic 22	('roots', 'root', 'soil', 'plants', 'mycorrhizal', 'plant', 'biomass', 'tree', 'nutrient', 'morphological')	(0.55102944, 0.44116625, 0.35309154, 0.32929063, 0.2810826, 0.265701, 0.2654405, 0.24121891, 0.23930478, 0.22179122)
Topic 23	('virulence', 'parasites', 'parasite', 'infectious', 'virulent', 'infections', 'evolutionary', 'infected', 'infection', 'strains')	(0.5672017, 0.49938166, 0.4945912, 0.43504012, 0.42115963, 0.41229317, 0.3749956, 0.37410808, 0.36807752, 0.34906954)
Topic 24	('species', 'habitat', 'abundance', 'ecoregions', 'conservation', 'monitoring', 'detection', 'observers', 'sampling', 'population')	(0.4040417, 0.3937501, 0.34980065, 0.33630073, 0.3353771, 0.333327, 0.31316853, 0.30584055, 0.29304582, 0.2799453)
Topic 25	('microbial', 'microbes', 'phototrophic', 'peatlands', 'biomass', 'peat', 'bacteria', 'biochemical', 'cyanobacteria', 'sphagnum')	(0.50078714, 0.3981492, 0.35149282, 0.33227563, 0.33142108, 0.3286013, 0.3174033, 0.31710368, 0.31053582, 0.29421642)
Topic 26	('lm', '0m7m1', 'l0', 'bm', 'uorb1', 'lv', 'm7v1r', 'uvb77', '0bo7b', 'o0')	(0.30294728, 0.30157068, 0.30030635, 0.28944468, 0.28451246, 0.27691063, 0.2712337, 0.26595616, 0.2600516, 0.2595394)
Topic 27	('75', '44', '45', '85', 'm1', '88', '87', '50', 'm2', '20')	(0.2881004, 0.282748, 0.26080543, 0.25789213, 0.25207132, 0.24502277, 0.24286512, 0.23819676, 0.23676859, 0.23578387)
Topic 28	('parasitoids', 'parasitoid', 'larvae', 'eggs', 'egg', 'parasitism', 'prey', 'temperatures', 'larval', 'temperature')	(0.539472, 0.5162851, 0.41839504, 0.40937215, 0.388006, 0.35903043, 0.3104536, 0.2757292, 0.274602, 0.255529)
