Topic,Words,Probabilities
0,"niche, climatic, urban, shift, precipitation, adaptation, adaptive, occurrence, phenotypic, capacity","0.027, 0.018, 0.015, 0.008, 0.008, 0.008, 0.007, 0.006, 0.005, 0.005"
1,"fish, bat, reef, roost, body, content, feeding, cat, behavior, feces","0.036, 0.01, 0.007, 0.007, 0.007, 0.006, 0.006, 0.005, 0.005, 0.005"
2,"bee, pollinator, pollen, floral, flower, wild, honey, urban, flowering, nectar","0.041, 0.019, 0.015, 0.015, 0.013, 0.01, 0.009, 0.009, 0.009, 0.008"
3,"lion, social, subgroup, forecast, encounter, prey, vegetation, season, elephant, horizon","0.027, 0.025, 0.016, 0.016, 0.015, 0.011, 0.011, 0.01, 0.009, 0.009"
4,"bird, breeding, winter, migration, season, helper, hunting, survival, colony, summer","0.018, 0.015, 0.011, 0.01, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007"
5,"dispersal, patch, movement, fitness, plasticity, cell, landscape, cost, dispersing, disperse","0.12, 0.04, 0.013, 0.01, 0.01, 0.01, 0.007, 0.007, 0.006, 0.006"
6,"microbial, concentration, sphagnum, dom, cell, organic, phytoplankton, photosynthetic, production, marine","0.025, 0.018, 0.011, 0.008, 0.008, 0.007, 0.007, 0.006, 0.005, 0.005"
7,"cost, bird, alien, stem, damage, feather, monetary, herbivory, evans, mesa","0.03, 0.03, 0.024, 0.023, 0.018, 0.015, 0.012, 0.011, 0.01, 0.007"
8,"seed, elevation, alpine, height, germination, gradient, elevational, functional, seedling, sla","0.077, 0.035, 0.018, 0.016, 0.012, 0.012, 0.011, 0.01, 0.009, 0.009"
9,"egg, larva, larval, treatment, adult, stage, survival, insect, colony, family","0.049, 0.039, 0.032, 0.025, 0.01, 0.01, 0.008, 0.007, 0.006, 0.006"
10,"tit, clutch, date, laying, blue, great, nest, bird, breeding, reproductive","0.037, 0.033, 0.026, 0.022, 0.02, 0.02, 0.015, 0.015, 0.012, 0.01"
11,"web, leaf, biomass, bef, functioning, tree, functional, seedling, competition, bromeliads","0.016, 0.012, 0.01, 0.008, 0.007, 0.006, 0.005, 0.005, 0.005, 0.004"
12,"monitoring, detection, trend, occupancy, observer, survey, count, bird, camera, sensor","0.017, 0.016, 0.013, 0.011, 0.01, 0.01, 0.01, 0.01, 0.007, 0.006"
13,"virulence, parasite, virulent, ﬁre, strain, risk, cockle, nutritional, infection, social","0.028, 0.013, 0.012, 0.012, 0.01, 0.01, 0.009, 0.009, 0.008, 0.007"
14,"deer, probability, state, roe, home, duration, capture, occasion, stopover, detection","0.026, 0.024, 0.013, 0.012, 0.01, 0.009, 0.009, 0.008, 0.007, 0.006"
15,"exposure, whale, fertilization, sonar, enrichment, supply, digestibility, state, shape, sperm","0.015, 0.013, 0.012, 0.011, 0.01, 0.009, 0.009, 0.008, 0.008, 0.008"
16,"disturbance, intensity, harvesting, bodysize, harvest, regime, mosquito, log, frequency, reef","0.033, 0.01, 0.009, 0.008, 0.008, 0.007, 0.006, 0.006, 0.006, 0.006"
17,"phylogenetic, functional, phylogeny, niche, evolutionary, tree, telomere, extinction, signal, clade","0.053, 0.052, 0.014, 0.01, 0.01, 0.01, 0.008, 0.007, 0.007, 0.006"
18,"conservation, management, protected, marine, resilience, mpas, human, protection, assessment, policy","0.034, 0.019, 0.015, 0.015, 0.011, 0.009, 0.009, 0.008, 0.008, 0.008"
19,"preprint, biorxiv, metric, peer, holder, authorfunder, plot, copyright, posted, granted","0.034, 0.019, 0.012, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.008"
20,"rodent, trap, bat, solar, apc, rattus, rat, trapping, mouse, night","0.024, 0.02, 0.016, 0.013, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009"
21,"forest, richness, landscape, land, vegetation, assemblage, cover, human, taxonomic, soil","0.039, 0.021, 0.015, 0.009, 0.008, 0.008, 0.007, 0.006, 0.006, 0.006"
22,"tlr, salinity, marine, ggg, manatee, algae, oyster, atlantic, phytoplankton, service","0.013, 0.01, 0.009, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005"
